,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_group,atemp_group
0,1,2011-01-01,1,2011,1,False,6,False,2,14.110847,18.18125,0.805833,0.160446,331,654,985,2,2
1,2,2011-01-02,1,2011,1,False,0,False,2,14.902598000000001,17.686950000000003,0.696087,0.248539,131,670,801,2,2
2,3,2011-01-03,1,2011,1,False,1,True,1,8.050924,9.47025,0.437273,0.248309,120,1229,1349,1,1
3,4,2011-01-04,1,2011,1,False,2,True,1,8.200000000000001,10.6061,0.590435,0.160296,108,1454,1562,1,1
4,5,2011-01-05,1,2011,1,False,3,True,1,9.305237,11.4635,0.436957,0.1869,82,1518,1600,1,1
5,6,2011-01-06,1,2011,1,False,4,True,1,8.378268,11.66045,0.518261,0.0895652,88,1518,1606,1,1
6,7,2011-01-07,1,2011,1,False,5,True,2,8.057402,10.44195,0.498696,0.168726,148,1362,1510,1,1
7,8,2011-01-08,1,2011,1,False,6,False,2,6.765000000000001,8.1127,0.535833,0.266804,68,891,959,1,1
8,9,2011-01-09,1,2011,1,False,0,False,1,5.671653,5.80875,0.434167,0.36195,54,768,822,1,1
9,10,2011-01-10,1,2011,1,False,1,True,1,6.184153,7.5443999999999996,0.482917,0.223267,41,1280,1321,1,1
10,11,2011-01-11,1,2011,1,False,2,True,2,6.9327309999999995,9.5732,0.686364,0.122132,43,1220,1263,1,1
11,12,2011-01-12,1,2011,1,False,3,True,1,7.0818069999999995,8.02365,0.599545,0.304627,25,1137,1162,1,1
12,13,2011-01-13,1,2011,1,False,4,True,1,6.765000000000001,7.544149999999999,0.470417,0.301,38,1368,1406,1,1
13,14,2011-01-14,1,2011,1,False,5,True,1,6.59567,9.42065,0.537826,0.126548,54,1367,1421,1,1
14,15,2011-01-15,1,2011,1,False,6,False,2,9.566653,12.4056,0.49875,0.157963,222,1026,1248,1,2
15,16,2011-01-16,1,2011,1,False,0,False,1,9.498347,11.71085,0.48375,0.188433,251,953,1204,1,1
16,17,2011-01-17,1,2011,1,True,1,False,2,7.209153,8.838550000000001,0.5375,0.194017,117,883,1000,1,1
17,18,2011-01-18,1,2011,1,False,2,True,2,8.883347,11.61665,0.861667,0.146775,9,674,683,1,1
18,19,2011-01-19,1,2011,1,False,3,True,2,11.979134,14.921100000000001,0.741739,0.208317,78,1572,1650,1,2
19,20,2011-01-20,1,2011,1,False,4,True,2,10.728347,12.7525,0.538333,0.195904,83,1844,1927,1,2
20,21,2011-01-21,1,2011,1,False,5,True,1,7.2775,7.89165,0.457083,0.353242,75,1468,1543,1,1
21,22,2011-01-22,1,2011,1,False,6,False,1,2.4243464,3.9534800000000003,0.4,0.17197,93,888,981,1,1
22,23,2011-01-23,1,2011,1,False,0,False,1,3.9573897000000002,4.941955,0.436522,0.2466,150,836,986,1,1
23,24,2011-01-24,1,2011,1,False,1,True,1,3.9930433,5.8965,0.491739,0.15833,86,1330,1416,1,1
24,25,2011-01-25,1,2011,1,False,2,True,2,9.162598000000001,11.7263,0.616957,0.129796,186,1799,1985,1,1
25,26,2011-01-26,1,2011,1,False,3,True,3,8.9175,10.18,0.8625,0.29385,34,472,506,1,1
26,27,2011-01-27,1,2011,1,False,4,True,1,7.995,10.985,0.6875,0.113837,15,416,431,1,1
27,28,2011-01-28,1,2011,1,False,5,True,2,8.342597999999999,11.165849999999999,0.793043,0.1233,38,1129,1167,1,1
28,29,2011-01-29,1,2011,1,False,6,False,1,8.057402,10.606300000000001,0.651739,0.145365,123,975,1098,1,1
29,30,2011-01-30,1,2011,1,False,0,False,1,8.877402,12.5161,0.722174,0.0739826,140,956,1096,1,2
30,31,2011-01-31,1,2011,1,False,1,True,2,7.414153,9.3125,0.60375,0.187192,42,1459,1501,1,1
31,32,2011-02-01,1,2011,2,False,2,True,2,7.8791340000000005,11.7265,0.829565,0.053213,47,1313,1360,1,1
32,33,2011-02-02,1,2011,2,False,3,True,2,10.66,12.72085,0.775417,0.264308,72,1454,1526,1,2
33,34,2011-02-03,1,2011,2,False,4,True,1,7.665237,8.8939,0.437826,0.277752,61,1489,1550,1,1
34,35,2011-02-04,1,2011,2,False,5,True,2,8.663464,11.429350000000001,0.585217,0.127839,88,1620,1708,1,1
35,36,2011-02-05,1,2011,2,False,6,False,2,9.566653,12.152899999999999,0.929167,0.161079,100,905,1005,1,2
36,37,2011-02-06,1,2011,2,False,0,False,1,11.719153,14.58355,0.568333,0.1418,354,1269,1623,1,2
37,38,2011-02-07,1,2011,2,False,1,True,1,11.138347,15.1829,0.738333,0.0454083,120,1592,1712,1,2
38,39,2011-02-08,1,2011,2,False,2,True,1,9.054153,9.9123,0.537917,0.36195,64,1466,1530,1,1
39,40,2011-02-09,1,2011,2,False,3,True,2,5.526102999999999,7.21415,0.494783,0.188839,53,1552,1605,1,1
40,41,2011-02-10,1,2011,2,False,4,True,1,5.918268,7.477399999999999,0.437391,0.221935,47,1491,1538,1,1
41,42,2011-02-11,1,2011,2,False,5,True,1,7.752731000000001,10.67545,0.506364,0.10855,149,1597,1746,1,1
42,43,2011-02-12,1,2011,2,False,6,False,1,9.1225,11.6477,0.544167,0.203367,288,1184,1472,1,1
43,44,2011-02-13,1,2011,2,False,0,False,1,12.977402000000001,16.20565,0.457391,0.260883,397,1192,1589,2,2
