,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_group
0,1,2011-01-01,1,2011,1,0,False,6,False,1,0.24,0.2879,0.81,0.0,3,13,16,1
1,2,2011-01-01,1,2011,1,1,False,6,False,1,0.22,0.2727,0.8,0.0,8,32,40,1
2,3,2011-01-01,1,2011,1,2,False,6,False,1,0.22,0.2727,0.8,0.0,5,27,32,1
3,4,2011-01-01,1,2011,1,3,False,6,False,1,0.24,0.2879,0.75,0.0,3,10,13,1
4,5,2011-01-01,1,2011,1,4,False,6,False,1,0.24,0.2879,0.75,0.0,0,1,1,1
5,6,2011-01-01,1,2011,1,5,False,6,False,2,0.24,0.2576,0.75,0.0896,0,1,1,1
6,7,2011-01-01,1,2011,1,6,False,6,False,1,0.22,0.2727,0.8,0.0,2,0,2,1
7,8,2011-01-01,1,2011,1,7,False,6,False,1,0.2,0.2576,0.86,0.0,1,2,3,2
8,9,2011-01-01,1,2011,1,8,False,6,False,1,0.24,0.2879,0.75,0.0,1,7,8,2
9,10,2011-01-01,1,2011,1,9,False,6,False,1,0.32,0.3485,0.76,0.0,8,6,14,2
10,11,2011-01-01,1,2011,1,10,False,6,False,1,0.38,0.3939,0.76,0.2537,12,24,36,2
11,12,2011-01-01,1,2011,1,11,False,6,False,1,0.36,0.3333,0.81,0.2836,26,30,56,2
12,13,2011-01-01,1,2011,1,12,False,6,False,1,0.42,0.4242,0.77,0.2836,29,55,84,2
13,14,2011-01-01,1,2011,1,13,False,6,False,2,0.46,0.4545,0.72,0.2985,47,47,94,3
14,15,2011-01-01,1,2011,1,14,False,6,False,2,0.46,0.4545,0.72,0.2836,35,71,106,3
15,16,2011-01-01,1,2011,1,15,False,6,False,2,0.44,0.4394,0.77,0.2985,40,70,110,3
16,17,2011-01-01,1,2011,1,16,False,6,False,2,0.42,0.4242,0.82,0.2985,41,52,93,3
17,18,2011-01-01,1,2011,1,17,False,6,False,2,0.44,0.4394,0.82,0.2836,15,52,67,3
18,19,2011-01-01,1,2011,1,18,False,6,False,3,0.42,0.4242,0.88,0.2537,9,26,35,3
19,20,2011-01-01,1,2011,1,19,False,6,False,3,0.42,0.4242,0.88,0.2537,6,31,37,4
20,21,2011-01-01,1,2011,1,20,False,6,False,2,0.4,0.4091,0.87,0.2537,11,25,36,4
21,22,2011-01-01,1,2011,1,21,False,6,False,2,0.4,0.4091,0.87,0.194,3,31,34,4
22,23,2011-01-01,1,2011,1,22,False,6,False,2,0.4,0.4091,0.94,0.2239,11,17,28,4
23,24,2011-01-01,1,2011,1,23,False,6,False,2,0.46,0.4545,0.88,0.2985,15,24,39,4
24,25,2011-01-02,1,2011,1,0,False,0,False,2,0.46,0.4545,0.88,0.2985,4,13,17,1
25,26,2011-01-02,1,2011,1,1,False,0,False,2,0.44,0.4394,0.94,0.2537,1,16,17,1
